ID,Type,Price,Quantity,Timestamp
1,V,20.95,410,2026-06-23 20:38:41
2,V,53.05,900,2026-06-23 20:38:44
3,V,23.24,610,2026-06-23 20:38:48
4,V,42.33,860,2026-06-23 20:38:50
5,C,73.84,280,2026-06-23 20:38:54
6,C,45.14,280,2026-06-23 20:38:56
7,V,66.79,420,2026-06-23 20:38:58
8,V,79.77,950,2026-06-23 20:39:03
9,C,96.41,860,2026-06-23 20:39:05
10,C,86.77,650,2026-06-23 20:39:06
11,V,88.82,30,2026-06-23 20:39:07
12,V,80.48,940,2026-06-23 20:39:08
13,V,21.25,580,2026-06-23 20:39:13
14,C,75.65,110,2026-06-23 20:39:14
15,C,20.29,400,2026-06-23 20:39:16
16,V,61.62,430,2026-06-23 20:39:21
17,V,19.16,550,2026-06-23 20:39:23
18,V,68.17,1000,2026-06-23 20:39:25
19,V,83.58,480,2026-06-23 20:39:28
20,C,58.6,270,2026-06-23 20:39:33
21,C,14.16,930,2026-06-23 20:39:38
22,C,72.97,420,2026-06-23 20:39:43
23,C,71.19,420,2026-06-23 20:39:48
24,C,36.59,340,2026-06-23 20:39:50
25,C,62.64,830,2026-06-23 20:39:54
26,C,61.39,450,2026-06-23 20:39:59
27,V,97.74,30,2026-06-23 20:40:00
28,V,90.21,380,2026-06-23 20:40:03
29,C,49.04,390,2026-06-23 20:40:06
30,V,89.96,80,2026-06-23 20:40:11
31,C,67.19,920,2026-06-23 20:40:14
32,V,55.65,300,2026-06-23 20:40:19
33,V,11.87,540,2026-06-23 20:40:24
34,C,23.16,130,2026-06-23 20:40:28
35,V,46.67,930,2026-06-23 20:40:29
36,V,25.13,570,2026-06-23 20:40:34
37,C,69.29,1000,2026-06-23 20:40:37
38,C,63.69,960,2026-06-23 20:40:39
39,C,78.81,140,2026-06-23 20:40:42
40,V,18.73,220,2026-06-23 20:40:46
41,V,81.44,590,2026-06-23 20:40:50
42,V,55.19,290,2026-06-23 20:40:53
43,V,59.96,660,2026-06-23 20:40:55
44,C,22.4,890,2026-06-23 20:41:00
45,V,96.03,580,2026-06-23 20:41:01
46,V,28.64,340,2026-06-23 20:41:02
47,C,49.53,170,2026-06-23 20:41:04
48,C,61.87,930,2026-06-23 20:41:08
49,V,80.13,640,2026-06-23 20:41:10
50,C,67.61,650,2026-06-23 20:41:13
51,V,15.35,710,2026-06-23 20:41:17
52,V,27.6,760,2026-06-23 20:41:19
53,V,95.84,890,2026-06-23 20:41:21
54,C,33.84,530,2026-06-23 20:41:26
55,C,65.95,410,2026-06-23 20:41:31
56,V,30.89,530,2026-06-23 20:41:35
57,V,31.64,110,2026-06-23 20:41:39
58,V,11.19,570,2026-06-23 20:41:44
59,C,40.14,200,2026-06-23 20:41:49
60,C,98.24,80,2026-06-23 20:41:52
61,V,56.75,340,2026-06-23 20:41:54
62,C,82.5,170,2026-06-23 20:41:55
63,V,96.84,680,2026-06-23 20:41:58
64,C,33.91,930,2026-06-23 20:42:02
65,V,79.58,930,2026-06-23 20:42:07
